"Year","ScenicSpots","January","February","March","April","May","June","July","August","September","October","November","December","Total"
"108","瑞芳風景特定區","406500","669000","","","","","","","","","","","1075500"
"108","猴硐煤礦園區","88400","128600","","","","","","","","","","","217000"
"108","新北市立黃金博物園區","151621","144291","","","","","","","","","","","295912"
"108","水湳洞遊客中心","49300","57400","","","","","","","","","","","106700"
"108","坪林茶業博物館","7914","10030","","","","","","","","","","","17944"
"108","八仙海岸","0","0","","","","","","","","","","","0"
"108","新北市立十三行博物館","26202","39713","","","","","","","","","","","65915"
"108","八里左岸公園","353000","309000","","","","","","","","","","","662000"
"108","十分旅遊服務中心","392000","621000","","","","","","","","","","","1013000"
"108","十分瀑布","244000","327000","","","","","","","","","","","571000"
"108","朱銘美術館","964","7343","","","","","","","","","","","8307"
"108","法鼓山世界佛教教育園區","14186","55780","","","","","","","","","","","69966"
"108","烏來風景特定區","182500","310000","","","","","","","","","","","492500"
"108","雲仙樂園","4332","13442","","","","","","","","","","","17774"
