區名,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
中壢,"7,357,290","8,443,577","7,565,993","7,182,904","7,242,161","7,424,742","8,374,189","8,274,108","7,228,230","7,401,506","7,366,966","7,471,900"
湖口,"20,947,455","25,775,383","20,854,445","20,497,609","20,197,505","19,781,004","22,249,184","22,803,432","20,329,831","21,546,077","22,118,716","21,519,936"
泰安,"28,959,782","41,042,112","27,273,529","28,562,800","27,029,665","25,941,871","30,949,087","31,896,516","26,205,159","27,285,463","28,854,877","27,438,381"
西螺,"31,582,352","43,902,858","30,291,983","31,981,480","30,839,591","30,987,688","36,129,164","33,877,483","29,536,740","29,757,920","30,192,117","30,269,921"
新營,"17,517,250","23,078,815","16,649,057","16,615,033","16,143,828","15,879,282","18,366,379","17,574,954","15,825,232","16,861,724","16,562,994","17,222,978"
仁德,"15,004,959","18,391,723","14,444,342","14,717,726","15,201,236","14,602,326","15,812,884","16,118,112","14,240,323","14,879,519","14,459,843","14,676,235"
關西,"32,781,199","42,350,494","30,548,159","28,868,210","27,849,864","27,077,439","32,790,592","32,411,889","27,689,498","29,585,772","30,557,200","29,494,825"
西湖,"11,831,697","27,988,248","19,515,342","21,731,100","25,891,596","24,017,686","26,802,755","27,506,176","24,670,586","24,723,774","24,578,674","23,445,826"
清水,"41,834,189","81,739,952","56,920,638","58,808,072","55,868,766","55,687,888","68,536,223","65,980,052","54,102,501","54,033,702","53,264,480","52,181,362"
南投,"21,538,592","31,878,518","19,190,933","20,199,412","18,548,894","19,838,435","22,977,409","22,990,399","20,803,141","20,913,969","21,696,281","20,122,465"
古坑,"19,570,489","30,504,742","17,935,493","18,575,840","16,717,269","17,675,768","20,775,188","19,865,978","17,112,420","17,370,820","17,432,631","17,075,084"
東山,"31,233,779","44,823,770","28,954,469","29,157,805","27,700,234","29,427,605","35,269,573","31,393,161","26,253,200","27,842,074","28,770,977","27,409,493"
關廟,"5,711,246","11,327,305","6,312,372","7,142,192","6,539,074","7,118,896","10,432,354","9,108,097","6,735,219","7,010,756","6,293,403","6,379,343"
石碇,"5,536,711","6,566,780","5,120,983","5,346,769","5,409,304","5,477,929","7,028,305","6,154,939","5,210,801","5,533,810","5,381,268","5,282,143"
